,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
3601,only faggots block people.,0,0,0,0,0,1
1868,the band called lockjaw SUCKS ASSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS. BIG HAIRY MONKEY ASSSSSSSSSSSSSSSSSSSSSSS,0,0,1,0,0,0
2658,you faggot ass bitch always crying and shit. Is Bahammut marine for gay ass homo,0,0,0,0,1,0
1344,"Fucking krauts 

Learn to speak English you fucking dirty kraut!",0,1,0,0,0,0
392,"Yeah. He is known not because he developed some crappy games, and not because he wrote a shitty flea book, but because he is a vocal misogynist. The poorly written article doesn't even mention it. has a thorough compilation of his misogynistic remarks.",1,0,0,0,0,0
2320,I'LL KILL YOU ALL!!!!,0,0,0,1,0,0
2466,"I'll kill you!!!! (*GUNSHOTS*) There, You are dead. 2602:252:D2D:4170:DEA:9F7B:2752:4C92",0,0,0,1,0,0
133,:And a month later it's still there.  Anyone here give a shit about accuracy?,1,0,0,0,0,0
434,.  I hate your freakin guts,1,0,1,0,0,0
1557,"""

 Not clear enough... 

The """"Family"""" programing thing is over with right? 2 weeks ago this netowrk showed a blaxplotation double header consisting of Superfly and Shaft. Yes they were edited for broadcast, but they still ain't family freindly. And that Mytv stuff is filled with sex. Not that i mind, i love sex and violence, but the article wasn't very clear about the fate of the """"family"""" thing. This is great though, i hate that family freindly bull shit and i wanted this so-called""""network"""" to fail and it has. Fuck you paxton!""",0,0,1,0,0,0
913,hey fuck you i went to this school and its awesome so fuck you bitch! 74.244.182.33,0,1,0,0,0,0
883,nigger paedophile nigger paedophile,0,1,0,0,0,1
121,""" 
 :What the fucking shit is this guy doing... logging into other's accounts, evading blocks... what a case! ☺ ·  ·  """,1,0,0,0,0,0
3319,"niggah 

hey fool whyd you delete my article?",0,0,0,0,0,1
3510,"You obnoxious piece of shit 

Why are you homosexuals always such viscious little fascists?",0,0,0,0,0,1
2548,"SHUT yOUR bUTT 

Thats right, i siad it. I hate yuo and i wish yuo wood die.",0,0,0,1,0,0
452,"== XXX ==  

 Just shut up all u people, you really seem to want to discuss this shit. DID u even see the video ? 
 Those sick fucks should be tortured in the most cruel way possible till the end off their days.",1,0,0,1,0,0
2500,"Picka ti Machina 

Youve been reverted, so fuck ya back

How about you vandalise my page again, ill revert it, and get your good self blocked for an extended period of time. fuck you.

i'm gonna find ya, harass ya, then fuckin kill ya because you are a fuckin gross poofter.

210.49.8.230",0,0,0,1,0,0
2236,"Death to you and your children 

I will have you banned and deleted for slander lady.",0,0,0,1,0,0
771,"Hahahaha!!! 

Fuck you! You are a Chinese pig!",0,1,0,0,0,1
2256,"i will ki 

ll you and wear your skin like a robe!",0,0,0,1,0,0
519,"Films
The Boys Are Back In Town
Green Day: Sweet Children To American Idiots",1,0,0,0,0,0
1590,"I agree, Fuller is a useless stupid fuck",0,0,1,0,0,0
2962,"::Porchcrop, I've told you I don't intend to communicagte directly with you anymore. I've asked you to stay off my talk page. As usual, being polite and hoping you could grasp such simple concepts has failed. It seems a less nuanced approach is called for, so  FUCK OFF. Don't post here, don't talk to me, just fuck off. Open all the idiotic noticeboard posts you want about me, I won't be paying any mind to your idiotic drama mongering any further. In closing, don't forget to fuck off.",0,0,0,0,1,0
2494,"why good sir? Why? 

You, sir, obviously do not comprehend the importance of no scopes. as a kind and generous wikipedian, take the time to understand the effect this article has on issues such as world hunger, which I hear Singapore has a lot of. By deleting this article, you are, in effect, fellating the proverbial penis of all that is evil. Why the fuck did you delete our goddamn article. Now my dreams, they are so lonely, as my article seems to be. Behind these blue eyes, i can see through your supposed good intentions, into the black soul that is your true self. My love for this article is vengance, that will not be free until i crush your soul and destroy any evidence of your pathetic presence on this earth. I hope you contract a foreign disease and your penis falls off, if you even have one. I will force your children into indentured servitude, and all of your lowly descendants will be cursed with abnormal navel hair growth forever. My angry, bloodthirsty army is waiting to beseige your house, and burn everything you have ever owned, until your physical being is engulfed by the black hole that is your perverted heart. I will also delete your slanderous works, and bring Singapore to a speedy, fiery deletion off of the face of the earth. I will not rest until complete vengance has been bought upon you, and the stairway to heaven crashes down upon you and your so called morales. God and Satan alike frown upon you from their thrones. Fuck you and all you stand for. You my good fellow are a Cunt and I hope you enjoy the rest of eternity in the fiery pits of hell. I hope that speedy death swarms about you like locusts, slowly devouring the very fabric of your being.",0,0,0,1,0,0
3600,"Cocksucker 

BILLCJ YOU ARE A COMPLETE FUCKFACE BECAUSE YOU LIKE MESSING WITH FUCKING EDITS AND FINALLY EVERYONE FUCKING HATES YOU BECAUSE YOU ARE A COMPLETE RACIST TO EVERYONE!!!! I WISH YOU SHUT THE FUCK UP AROUND PEOPLE AND FINALLY YOUR MOM IS A FUCKING DIRTY SLUTTY BITCH!!!!

Weeeelllll!
BillCJ's mom's a bitch, she's a big fat bitch,
She's the biggest bitch in the whole wide world,
She's a stupid bitch, if there ever was a bitch,
She's a bitch to all the boys and girls.

On Monday she's a slut
On Tuesday she's a racist
On Wednesday thru Saturday she's a bitch
Then on Sunday just to be different,
Shes u super king kamehameha bitch

Have you ever met my friend BillCJ's Mom,
She's the fuckiest bitch in the whole wide world,
She's a fuckin old bitch, she has fucking fat tits,
She's a bitch, bitch, bitch, bitch, bitch, bitch, bitch
Bitch, bitch bitch bitch bitch bitch bitch
She's a fuckin bitch, BILLCJ's Mom's a bitch,
And she's such a racist bitch.

Talk to kids around the world,
It might go a little something like this...

[Sung in three different languages by other children]

Have you ever met my friend BILLCJ's Mom,
She's the biggest bitch in the whole wide world,
She's a mean old bitch, she has stupid hair,
She's a bitch, bitch, bitch, bitch, bitch, bitch, bitch
Bitch, bitch bitch bitch bitch bitch bitch.
She's a stupid bitch, BILLCJ's Mom's a bitch,
And she's such a dirty bitch;

I really mean it,
BILLCJ's Mom, she's a big fat, fucking bitch
Big old fat fuckin' bitch, BILLCJ's Mommmmmmmmmmm
Yeahhhhh, Chaaaaa",0,0,0,0,0,1
1725,"""You have a nerve referring others as """"idiots.""""   """,0,0,1,0,0,0
2502,Are you wikistalking me you fucking aspie? Either crawl back to your hugbox or hang yourself.,0,0,0,1,0,0
2659,"Do me a favor, Adolf, delete my account...fascist.",0,0,0,0,1,0
3073,understand you can't manage? You are pathetic.  20:32,0,0,0,0,1,0
548,"You're an idiot, MONGO. We should be reminding you. You're the one who started this mess by being uncivil. 174.89.52.62",1,0,0,0,0,0
2278,"Hope he dies 

Now this Atheist filth's wife has gone, he should follow soon and give us all a rest from him Paedophillic behaviour.",0,0,0,1,0,0
1009,"you are a chicken shit cock sucking pussy bastard! 

you are a chicken shit cock sucking pussy bastard!",0,1,0,0,0,0
649,"Its not nonsense its fucking true, so Yezzer likes to put dildos up his Harris so what, let him do want he wants?",1,0,1,0,0,0
784,Hey fuck you Hal Turner sent a death threat to me in teh mail yesterday. He's a RACIST Don't let him use this is a launch pad for thi NAZI ANTICS!,0,1,0,0,0,0
3356,"Gay Hatred 

Ah I see you are a homophobe just like Joakim Noah. Maybe one day people can live in peace but until then we just have to put up with people like you.",0,0,0,0,0,1
1242,"black people deserve to die,",0,1,0,1,0,0
898,"stop reverting my edit
your so fucken gay get a fucken life your fagot or go get laid or something",0,1,0,0,0,0
129,"""

I already added the citations that were needed. Some places said """"Citation needed"""" when there is no possible way to provide one. And note to Musicpvm (or whatever your name is), if you are such the expert on the English language then why can't you correct the crap yourself?""",1,0,0,0,0,0
2814,"If Christianity is so good, how come they have to convert the dalits? Why can't they convert people with brains? Oh right! Christians don't have brains!",0,0,0,0,1,0
2897,"== Yo cobalt == 

 Your car is hot as f*ck so is your interior",0,0,0,0,1,0
2515,"You... 

You are attacking me again, beacuse I am . Do you remember me, fucking man? Now, I see that you want destroy my work again. This time, you will die, fucking Ryulong.",0,0,0,1,0,0
2795,both of you are tools go fuck yourselves and get laid,0,0,0,0,1,0
1488,""" 
 ::::::::: 5? I wish we were allowed to do 5... Stupid headmaster. I hate him. e  """,0,0,1,0,0,0
798,"Hey
You're a fucking cunt. Go kill yourself.",0,1,0,0,0,0
604,". That's right. You heard me.

FAGGOT",1,0,0,0,0,0
2553,Mmmm... yes... a pint of palestinian blood would be a fine dessert right now. -  talk/email,0,0,0,1,0,0
2302,"==Is not my problem== 

 I´m colombian, and this bitch will die and I broke she. jajajajaja",0,0,0,1,0,0
1727,to my butt so everyone sees,0,0,1,0,0,0
44,"""

Penis envy
From Wikipedia, the free encyclopedia
Jump to: navigation, search
For the Crass album, see Penis Envy (album). For the Virgin 1 documentary, see ....Envy.

Penis envy in Freudian psychoanalysis refers to the theorized reaction of a girl during her psychosexual development to the realization that she does not have a penis. Freud considered this realization a defining moment in the development of gender and sexual identity for women. According to Freud, the parallel reaction in boys to the realization that girls do not have a penis is castration anxiety.

In contemporary culture, the term is sometimes used symbolically or metaphorically to refer to the idea that women wish they had a penis, or to refer to anxieties between men about the size of their genitals.
Contents
[hide]

    * 1 Freud's Theory
          o 1.1 Criticisms of Freud’s theory
                + 1.1.1 Within psychoanalytic circles
                + 1.1.2 Feminist criticisms
    * 2 Male penis envy
    * 3 See also
    * 4 References
    * 5 External links

[edit] Freud's Theory

Sigmund Freud introduced the concept of a little girl's interest in—and envy of— the penis in his 1908 article """"On the Sexual Theories of Children,"""" but did not fully develop the idea until substantially later in 1914 when his work On Narcissism was published. It was not mentioned in the first edition of Freud's earlier Three Contributions to the Theory of Sex (1905).

The term came to significance as Freud gradually refined his views of female sexuality, coming to describe a mental process he believed occurred in girls as they passed through the Electra complex from the phallic stage to the latency stage (see Psychosexual development).

In Freud’s psychosexual development theory, the phallic stage (approximately between the ages of 3.5 and 6) is the first period of development in which the libidinal focus is primarily on the genital area. Prior to this stage, the libido (broadly defined by Freud as the primary motivating energy force within the mind) focuses on other physiological areas. For instance, in the oral stage, in the first 12 to 18 months of life, libidinal needs concentrate on the desire to eat, sleep, suck and bite. The theory suggests that the penis becomes the organ of principal interest to both sexes in the phallic stage. This becomes the catalyst for a series of pivotal events in psychosexual development. These events—known as the Oedipus complex for boys and the Electra complex for girls—result in significantly different outcomes for each gender because of differences in anatomy.

For girls:

    * Soon after the libidinal shift to the penis, the child develops her first sexual impulses towards her mother.
    * The girl realizes that she is not physically equipped to have a heterosexual relationship with her mother, since she does not have a penis.
    * She desires a penis, and the power that it represents. This is described as penis envy. She sees the solution as obtaining her father’s penis.
    * She develops a sexual desire for her father.
    * The girl blames her mother for her apparent castration (what she sees as punishment by the mother for being attracted to the father) assisting a shift in the focus of her sexual impulses from her mother to her father.
    * Sexual desire for her father leads to the desire to replace and eliminate her mother.
    * The girl identifies with her mother so that she might learn to mimic her, and thus replace her.
    * The child anticipates that both aforementioned desires will incur punishment (by the principle of lex talionis)
    * The girl employs the defence mechanism of displacement to shift the object of her sexual desires from her father to men in general.

The offshoot of these events, often cited in the media and colloquially, is that a girl really wants to become her mother, so that she can control her father.

A similar process occurs in boys of the same age as they pass through the phallic stage of development. The key differences being that the focus of sexual impulses need not switch from mother to father, and that the fear of castration (castration anxiety) remains. The boy desires his mother, and identifies with his father, whom he sees as having the object of his sexual impulses. Furthermore, the boy’s father, being the powerful aggressor of the family unit, is sufficiently menacing that the boy employs the defense mechanism of displacement to shift the object of his sexual desires from his mother to women in general.

Freud thought this series of events occurred prior to the development of a wider sense of sexual identity, and was required for an individual to continue to enter into his or her gen",1,0,0,0,0,0
2633,"What kind of life is it that has no purpose?  If you hadn't fucked with me repeatedly then we wouldn't be having this kind of relationship.  As far as I'm concerned, you can suck a dick.  If I new where you lived, I would pay your home a visit.   108.196.186.171",0,0,0,0,1,0
1438,I'm also a huge cunt!   talk,0,0,1,0,0,0
1500,Apologies: This stupid and idiotic edit was made by a half wit friend who has duefully been alerted to the ridiculous act of vandalism made by him from my IP.,0,0,1,0,0,0
2901,DAMN ur an ugly fukka,0,0,0,0,1,0
936,you suck alot of dick,0,1,0,0,0,0
309,"if you do not stop, the wikapidea nijas will come to your house and kill you",1,0,0,1,0,0
2072,I am going to shoot you in the head and laugh as your brains splatter onto the ground.,0,0,0,1,0,0
258,"A Message to You Allie
Oh HAI, cockmonkey n!gger!",1,0,0,0,0,0
663,"I wish the Euro%74rash would stop fucking up Jewish articles. 

Only Jews should be allowed to edit Jewish articles because the fucking anti-Semites who run Wikipedia can't be trusted.

Just look at the garbage this Dutchman is doing: http://en.wikipedia.org/w/index.php?title=Katzrin&diff;=607502596&oldid;=607494715",1,0,0,0,0,0
2038,"I will flay you alive, you fking stalker.  

I shall enjoy your screams of agony as your blood slowly pools across the floor of my basement.",0,0,0,1,0,0
3383,Fuck malaysians like you'Fuck malaysians like you',0,0,0,0,0,1
942,Suck my DIHCK!  Nihgga!,0,1,0,0,0,1
2900,"eh im in no mood to actually edit stuff, i've done like 4 minor minor edits in the last 2 days, and that big ridiculous rant. It wasn't THAT bad, I mean I didn't do some mass vandalize and put untrue info and what not, i just went to the guys talk page, deleted everything off and told him that i hated him and he is a pretentious power hungry ass hole (but in like 40x more words) i might get blocked but only for a bit i think, i don't see me getting blocked for like....more than a week, if i do that is TOTALLY to much.",0,0,0,0,1,0
1248,GWAH!! (fuck you nigger),0,1,0,0,0,0
341,This IP is a public school's address. Apologies for any stupid edits!,1,0,0,0,0,0
2070,shov it up ur ass,0,0,0,1,0,0
1940,You fake bastard.  This site is a fraud!,0,0,1,0,1,0
1867,"ARE YOU NUTS 

WHY THE FUCK ARE YOU VANDALISING several articles BY REMOVING LINKS?!
i mean guru and dj premier

use your brain first if you got any, remove links then",0,0,1,0,0,0
2865,"The Giant Panda 

Dear Poopyhead,

I object strongly to your last argument. For instance, you stated that I called you ugly. That, sir, is a lie. I demand that you retract your statement within the next four to six seconds or all hell will break loose. Because you, sir, are a pretentious, overzealous, constipated, ping-pong ball-eating runny-nosed jerkoff. And NEVER BLOCK YESMOREDONKEYS AGAIN!

Oh yeah, and always remember to SHUT UP!

  
Head Comissioner of Wikipedia",0,0,0,0,1,0
1371,": you blocked my room mate u idiot! 
 : now blocked me to, if you read history u should have blocked from beginnin!",0,0,1,0,0,0
2971,"You fail at life
n/t 221.220.188.146",0,0,0,0,1,0
1919,"== Why did you delete my article? == 

 Your a fucking faggot for doing that. Actually, Wikipedia already has an article called Cannabis Corpse. Your a fucking retard. Put it back up.",0,0,1,0,0,0
3236,Richard Allen is a gay freak who likes guys !,0,0,0,0,0,1
406,"That's it. 

Final straw. We're doing this. You and me. I will be flying to the city of your residence and burning down your domicile. Do you have nice things? Because I'm going to fuck them.",1,0,0,0,0,0
2341,Don't ever show your face where I live and don't ever let our paths cross in this life or the next.,0,0,0,1,0,0
1429,"Oh, shut up and fuck off, you asshole.  I'll be blocked, for sure, but you'll look stupid for chasing me.  I'll just make another account.",0,0,1,0,0,0
3679,and gay for man penis,0,0,0,0,0,1
736,sarah palin is an ass kissing mother fucking loser with a melon in her hair. she sucks eggs that are from her brain-yuck stupid!- she is a bitch there i said it she is a sucker with a big bitch thing and a bitchy attitude about life. she is horribly radical with religion she is a fucker stupid idiot with fucking shit in here face,0,1,0,0,0,1
2206,"I will kill you 

i will blow up your house and kill your family one by one slowly and painfully",0,0,0,1,0,0
2561,HI D DONT DELETE OR I WILL KILL U <3 2PM !!!!!!!,0,0,0,1,0,0
764,Go ahead you sad little asshole.,0,1,0,0,0,0
